commit	overall_score	worst_window_score	status	description
51404ea	7.159192	27.935448	keep	baseline default config
b5e164a	0.049328	0.062717	keep	cycle axes, unit=1, boost=0
5126e79	0.037833	0.048386	keep	increase freq_exponent to 1.2
46ea182	0.021784	0.026226	keep	raise freq_exponent to 1.4 and freq_scale to 1.3
89df608	0.004696	0.005388	keep	dual_plane mode with cycle axes and paired frequencies
4e04a0e	0.002991	0.004247	keep	dual_plane with boost_scale 1.1
f0c388d	0.002909	0.004166	keep	fine-tune dual_plane: boost 1.12, rotation 0.98
39c0034	0.000000	0.000000	keep	dual_plane axis_grouped with unit frequencies and equal plane scales
